latitude,longitude,description,location
35.499597282601684,-80.84283515810966,Davidson College Track,xxx
35.508666514845366,-80.83723068237305,Davidson College XC Trails,xxx
35.44539310232219,-80.87936282157898,Birkdate Village Huntersville,xxx
35.22718156801215,-80.84309935569763,Trade & Tryon Charlotte NC,xxx
35.859143933585756,-78.66140127182007,Shelley Lake Raleigh NC,xxx
34.20686897586702,-77.79354572296143,Wrightsville Beach NC,xxx
32.769603391621146,-79.92926001548767,The Battery @ Oyster Point Charleston SC,xxx
30.162067040804416,-81.35530471801758,Mickler Beach @ PVB FL,xxx
28.594243868270194,-81.3465017080307,Holt Hall @ Rollins College,xxx
26.131610374404218,-81.80640935897827,Naples FL Pier,xxx
30.284937521029544,-97.73407459259033,Univ of Texas Austin,xxx
40.70700243680768,-74.01126623153687,NYSE @ NYC,xxx
41.10478109890432,-73.3521294593811,Compo Beach @ Westport CT,xxx
41.99562088186661,-72.8299355506897,Cossett Library @ North Granby,xxx
42.86086645611154,-76.9757080078125,Geneva NY,xxx
44.8742103341999,-93.57724070549011,Fawn Hill Rd @ Chanhassen MN,xxx
46.859860886850846,-113.97919535636902,The M @ Univ of Montana,xxx
39.64096274280151,-106.37456953525543,Mountain Standard @ Vail CO,xxx
38.95220037373824,-120.10251760482788,Emerald Bay @ Lake Tahoe CA,xxx
36.37149605216152,-121.90174877643585,Bixby Bridge @ Big Sur,xxx
33.84361561746012,-116.21543884277344,Joshua Tree @ Indio Hills,xxx
33.42641816252868,-111.93245261907578,Sun Devil Stadium @ Tempee,xxx
48.532521108675226,-123.01614761352539,Friday Harbor @ San Juan Islands,xxx
47.67035099305486,-122.12006449699402,Redmond Town Center,xxx